test_family,varying_factor,level_a,level_b,conditioning_factor,conditioning_level,fixed_model,fixed_prompt,fixed_parser,n_a,n_b,successes_a,successes_b,failures_a,failures_b,recall_a,recall_b,recall_a_pct,recall_b_pct,difference,difference_percentage_points,odds_ratio,chi_square,degrees_of_freedom,minimum_expected_count,test_used,p_value,p_holm,p_fdr_bh
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2023,Llama,label,P1,40,40,35,40,5,0,0.875,1.0,87.5,100.0,-0.125,-12.5,inf,5.333333333333333,1.0,2.5,Fisher exact,0.05474272562880158,0.8211408844320237,0.1135173479199836
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2023,Llama,guided,P1,40,40,33,39,7,1,0.825,0.975,82.5,97.5,-0.15000000000000002,-15.000000000000002,8.272727272727273,5.0,1.0,4.0,Fisher exact,0.0567586739599918,0.8211408844320237,0.1135173479199836
between_dataset_clean_within_obfuscation_clean,dataset_clean,nazario,spam_archive,obfuscation_clean,no,Qwen,guided,P2,34,46,27,27,7,19,0.7941176470588235,0.5869565217391305,79.41176470588235,58.69565217391305,0.207161125319693,20.7161125319693,0.3684210526315789,3.824513082825105,1.0,11.05,Pearson chi-square,0.05050802122139251,0.8650207123956699,0.13468805659038033
between_dataset_clean_within_obfuscation_clean,dataset_clean,nazario,spam_archive,obfuscation_clean,no,Llama,guided,P2,34,46,30,32,4,14,0.8823529411764706,0.6956521739130435,88.23529411764706,69.56521739130434,0.1867007672634271,18.67007672634271,0.3047619047619048,3.9080017233634923,1.0,7.65,Pearson chi-square,0.048056706244203884,0.8650207123956699,0.13468805659038033
between_dataset_clean_within_obfuscation_clean,dataset_clean,nazario,spam_archive,obfuscation_clean,yes,Llama,label,P2,34,46,31,34,3,12,0.9117647058823529,0.7391304347826086,91.17647058823529,73.91304347826086,0.17263427109974427,17.263427109974426,0.27419354838709675,3.8245130828251033,1.0,6.375,Pearson chi-square,0.05050802122139263,0.8650207123956699,0.13468805659038033
between_dataset_clean,dataset_clean,nazario,spam_archive,none,all,Qwen,guided,P1,68,92,52,64,16,28,0.7647058823529411,0.6956521739130435,76.47058823529412,69.56521739130434,0.06905370843989767,6.9053708439897665,0.7032967032967034,0.935147399562251,1.0,18.7,Pearson chi-square,0.3335289388390115,0.9733943463142015,0.36384975146073983
between_dataset_clean,dataset_clean,nazario,spam_archive,none,all,Qwen,evidence,P1,68,92,60,76,8,16,0.8823529411764706,0.8260869565217391,88.23529411764706,82.6086956521739,0.05626598465473143,5.626598465473142,0.6333333333333333,0.9708640489443857,1.0,10.2,Pearson chi-square,0.32446478210473384,0.9733943463142015,0.36384975146073983
between_year_num_within_dataset_clean,year_num,2023,2025,dataset_clean,nazario,Qwen,label,P1,34,34,23,16,11,18,0.6764705882352942,0.47058823529411764,67.64705882352942,47.05882352941176,0.20588235294117652,20.588235294117652,0.4251207729468599,2.9460654288240495,1.0,14.5,Pearson chi-square,0.08608691352059851,1.0,0.2002363607500044
between_dataset_clean_within_year_num,dataset_clean,nazario,spam_archive,year_num,2023,Qwen,label,P2,34,46,19,17,15,29,0.5588235294117647,0.3695652173913043,55.88235294117647,36.95652173913043,0.1892583120204604,18.92583120204604,0.4627949183303085,2.82931617969981,1.0,15.3,Pearson chi-square,0.09255776279382476,1.0,0.19299396959796036
between_dataset_clean_within_year_num,dataset_clean,nazario,spam_archive,year_num,2025,Qwen,guided,P1,34,46,26,27,8,19,0.7647058823529411,0.5869565217391305,76.47058823529412,58.69565217391305,0.17774936061381064,17.774936061381062,0.43724696356275305,2.7625057861992675,1.0,11.475,Pearson chi-square,0.09649698479898018,1.0,0.19299396959796036
